ticker,asset_name,asset_type,stock_price,transaction,transaction_date,asset_value_low,asset_value_high,last_name,first_name,owner,additional_details
DVMT,Dell Technologies Inc.,Stock,48.0,Exchange,09/07/2016,1001,15000,Reed,John F,Self,EMC Corp. Mass EMC is now listed as Dell Technologies FMGR EMC Corp Mass.
QCOM,QUALCOMM Incorporated,Stock,49.12,Purchase,04/05/2017,1001,15000,Whitehouse,Sheldon,Child,--
QCOM,QUALCOMM Incorporated,Stock,49.12,Purchase,04/05/2017,1001,15000,Whitehouse,Sheldon,Joint,--
WPC,W. P. Carey Inc.,Stock,45.72,Purchase,04/05/2017,1001,15000,Whitehouse,Sheldon,Joint,--
USB,U.S. Bancorp,Stock,44.0,Purchase,04/05/2017,1001,15000,Whitehouse,Sheldon,Self,--
AMGN,Amgen Inc.,Stock,143.7,Purchase,04/05/2017,1001,15000,Whitehouse,Sheldon,Self,--
IBM,International Business Machines Corporation,Stock,129.61,Purchase,04/05/2017,1001,15000,Whitehouse,Sheldon,Self,--
WFC,Wells Fargo & Company,Stock,46.33,Sale (Partial),04/24/2017,1001,15000,Capito,Shelley M,Spouse,--
SPG,"SPG-SPG-Simon Property Group, Inc.",Stock,136.45,Purchase,12/29/2016,100001,250000,Hoeven,John,Self,Changed transaction date from 1/4/17 (Settlement date) to 12/29/16 (Trade date).
NKE,"NKE-NKE-NKE-NIKE, Inc.",Stock,48.47,Purchase,12/29/2016,100001,250000,Hoeven,John,Self,Changed transaction date from 1/4/17 (Settlement date) to 12/29/16 (Trade date).
CSX,CSX Corporation,Stock,11.45,Sale (Full),12/28/2016,50001,100000,Hoeven,John,Self,--
F,Ford Motor Company,Stock,9.71,Sale (Full),12/28/2016,100001,250000,Hoeven,John,Self,--
IBM,International Business Machines Corporation,Stock,120.52,Purchase,04/24/2017,50001,100000,Hoeven,John,Self,--
MDLZ,"Mondelez International, Inc.",Stock,41.43,Purchase,04/24/2017,50001,100000,Hoeven,John,Self,--
GIS,"General Mills, Inc.",Stock,48.48,Purchase,04/21/2017,100001,250000,Hoeven,John,Self,--
SBUX,Starbucks Corporation,Stock,55.72,Purchase,04/21/2017,50001,100000,Hoeven,John,Self,--
SPG,"Simon Property Group, Inc.",Stock,136.79,Sale (Full),04/20/2017,100001,250000,Hoeven,John,Self,--
KSS,Kohl's Corporation,Stock,33.62,Sale (Full),04/20/2017,50001,100000,Hoeven,John,Self,--
FRT,Federal Realty Investment Trust,Stock,112.19,Purchase,03/29/2017,1001,15000,Cassidy,William,Spouse,--
TGT,Target Corporation,Stock,48.21,Purchase,03/29/2017,1001,15000,Cassidy,William,Spouse,--
SO,The Southern Company,Stock,39.85,Sale (Full),03/29/2017,1001,15000,Cassidy,William,Spouse,--
LOW,"Lowe's Companies, Inc.",Stock,75.29,Sale (Partial),03/29/2017,1001,15000,Cassidy,William,Spouse,--
AMT,American Tower Corporation,Stock,109.78,Sale (Full),03/29/2017,1001,15000,Cassidy,William,Spouse,--
ADI,"Analog Devices, Inc.",Stock,76.81,Exchange,03/14/2017,1001,15000,Whitehouse,Sheldon,Child,Shares received in exchange for Linear Technology shares as a result of merger
MCHP,Microchip Technology Incorporated,Stock,32.37,Sale (Partial),03/06/2017,1001,15000,Whitehouse,Sheldon,Joint,--
CAG,"Conagra Brands, Inc.",Stock,35.8,Sale (Partial),03/06/2017,1001,15000,Whitehouse,Sheldon,Joint,--
GE,General Electric Company,Stock,141.13,Sale (Partial),03/06/2017,1001,15000,Whitehouse,Sheldon,Joint,--
RHHBY,Roche Holding AG,Stock,27.55,Sale (Full),03/02/2017,15001,50000,Collins,Susan M,Spouse,--
GILD,"Gilead Sciences, Inc.",Stock,60.15,Sale (Full),03/02/2017,1001,15000,Collins,Susan M,Spouse,--
DHR,Danaher Corporation,Stock,74.67,Purchase,03/02/2017,15001,50000,Collins,Susan M,Spouse,--
TSN,"Tyson Foods, Inc.",Stock,55.65,Sale (Full),03/21/2017,1001,15000,Carper,Thomas R,Spouse,--
WMB,"The Williams Companies, Inc.",Stock,21.47,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
WRK,WestRock Company,Stock,44.86,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
WFC,Wells Fargo & Company,Stock,51.22,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
WBA,"Walgreens Boots Alliance, Inc.",Stock,75.14,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
WMT,"Wal-Mart Stores, Inc.",Stock,17.41,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
VZ,Verizon Communications Inc.,Stock,40.01,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
UPS,"United Parcel Service, Inc.",Stock,92.73,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
USB,U.S. Bancorp,Stock,47.19,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
TUP,Tupperware Brands Corporation,Stock,52.74,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
TWX,Time Warner Inc.,Stock,98.46,Purchase,03/16/2017,1001,15000,Murray,Patty,Spouse,--
